Response	Submitted	Institution	Department	Course	Group	ID	Full name	Username	Q01_gender	Q02_hair.cost	Q03_tv	Q04_hemisphere	Q05_birth.month	Q06_day.you	Q07_day.bro	Q08_day.mum	Q09_day.dad	Q10_labour.cost	Q11_travel.time	Q12_transport	Q12_transport_Other:	Q13_satisfication	Q14_study.area	Q15_frost->Funniness	Q16_boomerang->Funniness	Q17_baby->Funniness	Q18_sperm->Funniness	Q19_star.wars->Funniness	Q20_crash->Funniness
20199	23/07/2014 15:25:26			COURSE1001			Anonymous		2	35	2	2	4	29	1	10	15	20	70	7		8	1	7	7	2	8	8	5
20205	23/07/2014 15:46:33			COURSE1001			Anonymous		2	30	2	2	3	2	8	26	26	300	50	7		9	7	8	1	1	9	1	1
20212	23/07/2014 16:33:16			COURSE1001			Anonymous		1	15	1	2	4	17	16	26	25	75	60	6		6	1	8	10	4	11	2	9
20213	23/07/2014 16:33:41			COURSE1001			Anonymous		1	12	2	2	12	27	26	14	4	30	55	6		9	3	6	11	11	2	11	6
20214	23/07/2014 16:38:13			COURSE1001			Anonymous		2	174	2	2	12	7	18	9	14	25	120	7		7	1	8	1	1	7	6	1
20217	23/07/2014 17:00:26			COURSE1001			Anonymous		2	90	2	2	9	16	18	17	1	80	60	Other:	walk, train and bus	8	3	10	7	5	6	1	1
20218	23/07/2014 17:01:37			COURSE1001			Anonymous		2	25	2	2	1	28	10	27	28	70	120	5		8	3	5	6	1	7	9	3
20220	23/07/2014 17:19:46			COURSE1001			Anonymous		1	20.00	1	2	11	26	7	7	3	80000000	15	2		7	5	1	1	2	7	4	2
20221	23/07/2014 17:21:01			COURSE1001			Anonymous		2	85	2	2	5	3	23	27	29	25	90	6		8	1	7	1	1	10	2	5
20222	23/07/2014 17:29:53			COURSE1001			Anonymous		2	30	2	2	12	20	15	3	6	50	60	6		7	3	5	5	1	4	1	1
20223	23/07/2014 17:30:00			COURSE1001			Anonymous		2	70.00	2	2	8	18	25	21	28	20	90	5		9	4	4	5	2	3	2	2
20225	23/07/2014 17:50:47			COURSE1001			Anonymous		1	30	2	2	12	11	13	3	2	30	45	4		8	8	11	3	5	7	7	10
20226	23/07/2014 17:52:52			COURSE1001			Anonymous		2	40	2	2	11	13	29	30	28	100	120	6		8	7	2	10	7	4	9	4
20227	23/07/2014 17:55:10			COURSE1001			Anonymous		2	30	2	2	2	26	21	25	9	30	50	6		8	1	6	4	1	5	6	2
20228	23/07/2014 18:04:42			COURSE1001			Anonymous		2	40	2	2	5	11	15	13	20	15	105	Other:	Walk, train and bus	8	7	9	9	1	8	4	1
20232	23/07/2014 18:21:15			COURSE1001			Anonymous		2	50	2	2	6	21	20	8	13	25	15	4		6	5	5	3	1	7	5	1
20233	23/07/2014 18:31:45			COURSE1001			Anonymous		2	20	2	2	7	20	10	31	29	20	45	6		7	5	8	6	9	7	6	6
20234	23/07/2014 18:46:26			COURSE1001			Anonymous		2	169	2	2	5	17	17	14	6	10	5	1		10	5	9	2	10	10	3	9
20236	23/07/2014 19:00:01			COURSE1001			Anonymous		1	20	2	2	6	19	10	9	7	50	20	1		6	4	9	9	8	4	6	7
20238	23/07/2014 19:14:31			COURSE1001			Anonymous		2	15	2	2	10	9	5	10	5	100	110	6		8	4	2	1	3	4	1	4
20241	23/07/2014 19:31:45			COURSE1001			Anonymous		1	12	1	2	6	17	14	24	28	10	60	6		10	7	6	2	1	1	2	5
20242	23/07/2014 19:38:26			COURSE1001			Anonymous		2	40	1	2	8	12	1	21	22	30	90	6		8	6	5	4	7	6	5	5
20243	23/07/2014 19:41:10			COURSE1001			Anonymous		2	15	2	1	10	19	10	27	25	20	10	1		8	3	7	2	2	2	1	1
20244	23/07/2014 19:42:01			COURSE1001			Anonymous		2	20	2	2	12	13	15	28	1	12	20	5		8	1	3	2	1	3	3	3
20247	23/07/2014 20:03:26			COURSE1001			Anonymous		1	35	2	2	5	15	10	21	5	20	90	6		9	1	7	5	8	6	8	9
20252	23/07/2014 20:32:57			COURSE1001			Anonymous		2	40	2	2	2	20	13	7	1	20	90	5		9	7	7	3	1	2	2	2
20254	23/07/2014 20:39:28			COURSE1001			Anonymous		2	20	2	2	5	8	31	14	21	20	145	Other:	Walk, train, bus	9	1	3	8	1	4	5	8
20255	23/07/2014 20:44:58			COURSE1001			Anonymous		1	26	1	2	8	29	5	13	20	16	110	5		8	1	4	4	8	5	2	3
20260	23/07/2014 21:37:04			COURSE1001			Anonymous		1	9	2	2	1	18	10	8	14	25	10	5		8	3	8	8	10	8	6	7
20270	23/07/2014 22:44:16			COURSE1001			Anonymous		1	20.00	1	2	8	22	11	4	12	40	60	6		9	3	3	2	1	1	1	7
20271	23/07/2014 22:53:53			COURSE1001			Anonymous		2	40.00	2	2	11	26	2	1	26	20	60	5		8	2	2	1	3	6	3	1
20277	23/07/2014 23:49:56			COURSE1001			Anonymous		2	20	2	2	2	16	6	7	15	50	80	6		8	1	7	4	6	3	5	4
20281	24/07/2014 06:41:34			COURSE1001			Anonymous		2	20	2	2	6	14	16	8	12	3000000	120	7		9	3	5	5	3	7	9	7
20291	24/07/2014 08:55:58			COURSE1001			Anonymous		2	20	1	2	2	19	8	13	30	60	75	7		7	7	6	3	1	8	8	4
20292	24/07/2014 09:26:01			COURSE1001			Anonymous		1	20	2	1	1	26	10	9	24	30	45	4		7	5	6	5	10	5	1	1
20294	24/07/2014 10:23:46			COURSE1001			Anonymous		2	15	2	2	8	4	9	10	19	30	80	7		8	4	3	4	4	7	5	8
20297	24/07/2014 10:36:37			COURSE1001			Anonymous		1	20	1	2	3	18	26	9	21	20	80	6		8	7	6	8	8	8	6	6
20301	24/07/2014 11:03:04			COURSE1001			Anonymous		2	170	2	2	3	9	12	20	26	100	20	1		8	7	1	1	5	4	5	1
20306	24/07/2014 12:10:24			COURSE1001			Anonymous		1	10	2	2	5	4	7	12	23	20	80	5		8	3	7	4	4	6	9	6
20308	24/07/2014 12:21:33			COURSE1001			Anonymous		2	60	2	2	1	6	23	27	13	20	75	7		8	7	2	1	1	9	1	4
20309	24/07/2014 12:22:30			COURSE1001			Anonymous		2	135	1	2	8	10	17	16	1	20	100	7		9	3	9	8	3	10	8	4
20312	24/07/2014 12:48:18			COURSE1001			Anonymous		2	95	2	2	5	23	14	1	10	50	40	6		10	4	9	3	1	10	1	1
20313	24/07/2014 12:51:55			COURSE1001			Anonymous		2	69	2	2	10	31	30	6	19	25	45	5		9	1	8	4	6	5	2	4
20318	24/07/2014 13:34:49			COURSE1001			Anonymous		1	20	1	2	3	23	6	25	19	50	10	1		8	1	6	1	11	4	6	2
20319	24/07/2014 13:44:28			COURSE1001			Anonymous		2	20	2	2	9	15	6	11	6	40	120	6		8	3	4	10	6	1	8	4
20322	24/07/2014 14:25:08			COURSE1001			Anonymous		1	20	2	2	8	7	9	6	24	30	60	6		8	7	1	1	1	2	2	1
20330	24/07/2014 15:45:00			COURSE1001			Anonymous		1	10	2	2	4	19	20	11	10	15	40	5		8	1	1	3	1	7	1	1
20333	24/07/2014 16:04:48			COURSE1001			Anonymous		2	35	1	2	7	21	27	1	7	25	60	6		9	1	1	1	1	9	1	1
20336	24/07/2014 17:02:41			COURSE1001			Anonymous		2	110	1	2	5	31	12	4	15	75	15	4		8	3	6	2	6	7	4	2
20338	24/07/2014 17:06:33			COURSE1001			Anonymous		2	35	2	1	6	3	10	12	27	20	60	6		9	1	10	5	8	9	6	4
20340	24/07/2014 18:09:38			COURSE1001			Anonymous		2	89	2	2	3	6	12	1	20	30	7	4		8	7	1	6	7	9	5	1
20348	24/07/2014 19:46:44			COURSE1001			Anonymous		2	30	2	2	9	3	1	25	3	20	5	1		7	7	3	8	1	5	1	1
20354	24/07/2014 20:30:34			COURSE1001			Anonymous		2	35	2	2	9	2	1	18	12	75	40	6		8	1	6	4	2	9	7	10
20356	24/07/2014 20:59:03			COURSE1001			Anonymous		1	NA	2	2	6	13	8	26	27	25	15	5		9	1	1	1	1	2	1	3
20365	24/07/2014 23:09:27			COURSE1001			Anonymous		1	25	2	2	5	27	5	9	13	300	90	6		9	8	1	3	1	6	8	4
20366	24/07/2014 23:12:59			COURSE1001			Anonymous		2	12.00	2	2	2	1	14	12	25	50	90	7		7	7	3	5	3	6	8	1
20371	24/07/2014 23:56:02			COURSE1001			Anonymous		2	65	2	2	6	30	2	6	24	25	60	6		7	6	8	8	10	10	2	1
20372	25/07/2014 00:08:39			COURSE1001			Anonymous		1	15	2	2	6	21	30	23	12	10	60	6		8	3	1	4	7	1	1	2
20373	25/07/2014 07:35:21			COURSE1001			Anonymous		2	25	2	2	12	14	31	16	23	20	120	7		7	3	7	3	6	8	4	7
