gender hair.cost tv hemisphere birth.month labour.cost travel.time transport satisf study.area
female 59 No Northern April 20 10 Walking 9 LifeSciences
male 45 No Northern October 30 0 Walking 8 Aviation
female 27 Yes Southern August 30 90 Train/Bus 7 LifeSciences
male 13 No Southern June 30 90 Train/Bus 8 Medicine
female 33 No Northern January 40 105 Train/Bus 7 LifeSciences
male 20 No Southern May 200 30 Car 8 SocialSciences
male 15 No Southern December 25 60 Train/Bus 8 SocialSciences
female 20 No Southern November 500 75 Train/Bus 9 Science
female NA No Southern November 100 120 Train/Bus 7 Medicine
female 139 No Southern June 150 40 Bus 5 Medicine
female 360 No Northern January 60 90 Train/Bus 10 LifeSciences
female 20 No Southern October 500 60 Train/Bus 7 SocialSciences
female 15 No Southern October 30 5 Walking 8 Medicine
male 10 No Southern August 100 60 Car/Train/Bus 9 Commerce
female 25 No Southern December 150 90 Train/Bus 7 LifeSciences
female 35 No Northern July 35 90 Train/Bus 9 Science
male 9 No Northern February 20 10 Walking 9 LifeSciences
female 0 No Southern June 30 15 Walking 8 LifeSciences
female 30 No Southern January 15 90 Train/Bus 8 Commerce
female 285 No Northern October 30 5 Walking 7 SocialSciences
male 36 Yes Southern July 32 100 Car/Train/Bus 7 LifeSciences
male 0 No Southern July 20 120 Train/Bus 8 LifeSciences
male 25 No Southern June 70 120 Train/Bus 4 Aviation
male 45 No Southern August 65 20 Other 9 Other
male 20 No Southern October 40 80 Car/Train/Bus 9 Aviation
female 65 Yes Southern January 25 15 Bus 9 Other
male 25 Yes Southern April 25 70 Train/Bus 9 SocialSciences
male 35 No Southern March 50 25 Bus 8 LifeSciences
female 60 No Northern April 50 15 Bus 8 LifeSciences
male 20 Yes Southern February 50 5 Car 10 Medicine
female 24 No Southern November 50 50 Train/Bus 8 Science
female 25 No Southern October 25 40 Train/Bus 8 LifeSciences
female 35 Yes Southern July 300 90 Train/Bus 7 Medicine
male 30 No Northern April 50 5 Walking 10 Science
female 30 No Southern October 50 90 Bus 9 Medicine
male 10 Yes Northern April 1000000 10 Walking 9 Aviation
male 20 No Southern August 70 90 Train/Bus 9 Medicine
male 15 No Northern November 10 25 Bus 9 Aviation
female 50 No Northern January 20 0 Other 9 LifeSciences
female 30 No Southern September 25 95 Train/Bus 9 Science
female 32 No Southern November 50 2 Other 9 LifeSciences
male 20 Yes Southern September 20 45 Train/Bus 9 Medicine
female 75 No Southern March 50 110 Train/Bus 8 LifeSciences
female 23 No Southern January 1000000 60 Train/Bus 9 Engineer
female 75 No Southern December 1000 50 Car 9 LifeSciences
female 35 Yes Southern November 200 90 Train/Bus 7 Engineer
female 199 Yes Southern February 50 20 Bus 9 Medicine
male 30 No Northern April 50 120 Train/Bus 9 Science
male 30 Yes Southern January 50 100 Bus 7 LifeSciences
male 20 Yes Southern March 20 60 Train/Bus 8 Aviation
female 30 No Southern March 45 80 Car 6 LifeSciences
male 25 No Southern April 25 40 Car/Train/Bus 7 Other
male 15 Yes Southern August 30 80 Train/Bus 8 LifeSciences
male 25 Yes Southern August 30 10 Car 1 Science
female 35 No Northern May 10 0 Walking 6 Science
male 10 No Northern January 15 0 Walking 5 Aviation
male 8 Yes Southern August 45 100 Train/Bus 6 Science
male 0 Yes Southern February 1000000 90 Other 6 LifeSciences
male 15 No Northern November 50 60 Train/Bus 8 Aviation
male 0 No Northern February 15 45 Train/Bus 8 Science
female 2 No Southern October 50 30 Bus 8 Science
male 20 Yes Southern November 35 60 Car 8 Medicine
female 12 No Southern September 100 90 Train/Bus 8 Commerce
male 20 Yes Southern September 250 15 Car 10 LifeSciences
female 0 No Southern December 50 110 Train/Bus 8 LifeSciences
female 0 Yes Southern November 500 90 Train/Bus 8 LifeSciences
female 3.8 No Southern October 150 30 Bus 8 Aviation
female 75 Yes Northern July 30 15 Bus 8 Medicine
male 35 Yes Northern January 100 120 Car 10 Aviation
female 50 No Southern January 25 15 Bus 8 Commerce
male 30 No Southern January 30 140 Car/Train/Bus 7 LifeSciences
female 190 No Southern February 40 50 Other 8 Other
female 20 Yes Southern November 80 60 Train/Bus 8 Other
female 170 No Southern February 20 150 Car/Train/Bus 9 Science
female 180 No Southern December 25 25 Car 8 Science
female 150 No Southern March 200 120 Car/Train/Bus 8 Science
female 16 No Southern January 50 40 Train/Bus 9 Medicine
male 25 No Southern November 45 50 Motorbike 9 LifeSciences
male 20 Yes Southern July 20 2 Walking 9 Commerce
female 22 Yes Southern September 40 100 Other 8 LifeSciences
female 80 Yes Southern July 35 90 Train/Bus 8 LifeSciences
male 18 No Southern November 30 90 Bus 9 LifeSciences
female 15 No Southern February 500 65 Car/Train/Bus 8 Commerce
male 20 Yes Southern June 50 60 Train/Bus 8 LifeSciences
female 0 Yes Southern June 25 55 Car 9 LifeSciences
female 20 Yes Southern July 30 60 Motorbike 8 LifeSciences
female 22 No Southern July 45 75 Train/Bus 8 Commerce
male 25 No Southern November 30 40 Bus 7 LifeSciences
male 20 No Northern October 50 15 Bus 10 Engineer
female 20 No Northern September 500 10 Walking 8 Aviation
female 50 No Northern January 1000 5 Walking 8 Aviation
female 325 Yes Southern August 25 2 Walking 5 Commerce
female 22 No Northern March 50 120 Bus 7 Engineer
male 15 Yes Southern April 1000 80 Train/Bus 8 Aviation
female 25 No Northern November 25 90 Train/Bus 9 Aviation
male 20 No Southern October 50 80 Car/Train/Bus 8 Aviation
male 15 Yes Southern December 250 110 Car/Train/Bus 8 LifeSciences
female 25 No Southern February 50 90 Car/Train/Bus 5 Medicine
female 135 No Southern November 20 3 Walking 9 LifeSciences
male 30 No Southern April 14 0 Walking 8 LifeSciences
female 130 No Northern September 500 30 Other 7 Aviation
female 25 No Southern February 2 60 Car/Train/Bus 9 Medicine
female 30 No Southern June 60 25 Car 9 Medicine
male 12 No Southern June 50 5 Walking 8 LifeSciences
male 10 No Southern November 200 90 Bus 3 LifeSciences
female 85 No Southern September 70 90 Train/Bus 7 SocialSciences
male 20 Yes Southern November 30 100 Train/Bus 8 Other
female 100 No Southern April 10 30 Car 8 Medicine
female 15 Yes Southern May 50 75 Train/Bus 9 Engineer
male 8 Yes Northern May 25 80 Bus 8 Commerce
