gender hair.cost tv hemisphere birth.month labour.cost travel.time transport satisf study.area missingLabour trimmedLabour
female 59 No Northern April 20 10 Walking 9 LifeSciences 20 20
male 45 No Northern October 30 0 Walking 8 Aviation 30 30
female 27 Yes Southern August 30 90 Train/Bus 7 LifeSciences 30 30
male 13 No Southern June 30 90 Train/Bus 8 Medicine 30 30
female 33 No Northern January 40 105 Train/Bus 7 LifeSciences 40 40
male 20 No Southern May 200 30 Car 8 SocialSciences 200 200
male 15 No Southern December 25 60 Train/Bus 8 SocialSciences 25 25
female 20 No Southern November 500 75 Train/Bus 9 Science 500 500
female NA No Southern November 100 120 Train/Bus 7 Medicine 100 100
female 139 No Southern June 150 40 Bus 5 Medicine 150 150
female 360 No Northern January 60 90 Train/Bus 10 LifeSciences 60 60
female 20 No Southern October 500 60 Train/Bus 7 SocialSciences 500 500
female 15 No Southern October 30 5 Walking 8 Medicine 30 30
male 10 No Southern August 100 60 Car/Train/Bus 9 Commerce 100 100
female 25 No Southern December 150 90 Train/Bus 7 LifeSciences 150 150
female 35 No Northern July 35 90 Train/Bus 9 Science 35 35
male 9 No Northern February 20 10 Walking 9 LifeSciences 20 20
female 0 No Southern June 30 15 Walking 8 LifeSciences 30 30
female 30 No Southern January 15 90 Train/Bus 8 Commerce 15 15
female 285 No Northern October 30 5 Walking 7 SocialSciences 30 30
male 36 Yes Southern July 32 100 Car/Train/Bus 7 LifeSciences 32 32
male 0 No Southern July 20 120 Train/Bus 8 LifeSciences 20 20
male 25 No Southern June 70 120 Train/Bus 4 Aviation 70 70
male 45 No Southern August 65 20 Other 9 Other 65 65
male 20 No Southern October 40 80 Car/Train/Bus 9 Aviation 40 40
female 65 Yes Southern January 25 15 Bus 9 Other 25 25
male 25 Yes Southern April 25 70 Train/Bus 9 SocialSciences 25 25
male 35 No Southern March 50 25 Bus 8 LifeSciences 50 50
female 60 No Northern April 50 15 Bus 8 LifeSciences 50 50
male 20 Yes Southern February 50 5 Car 10 Medicine 50 50
female 24 No Southern November 50 50 Train/Bus 8 Science 50 50
female 25 No Southern October 25 40 Train/Bus 8 LifeSciences 25 25
female 35 Yes Southern July 300 90 Train/Bus 7 Medicine 300 300
male 30 No Northern April 50 5 Walking 10 Science 50 50
female 30 No Southern October 50 90 Bus 9 Medicine 50 50
male 10 Yes Northern April 1000000 10 Walking 9 Aviation NA 1000
male 20 No Southern August 70 90 Train/Bus 9 Medicine 70 70
male 15 No Northern November 10 25 Bus 9 Aviation 10 10
female 50 No Northern January 20 0 Other 9 LifeSciences 20 20
female 30 No Southern September 25 95 Train/Bus 9 Science 25 25
female 32 No Southern November 50 2 Other 9 LifeSciences 50 50
male 20 Yes Southern September 20 45 Train/Bus 9 Medicine 20 20
female 75 No Southern March 50 110 Train/Bus 8 LifeSciences 50 50
female 23 No Southern January 1000000 60 Train/Bus 9 Engineer NA 1000
female 75 No Southern December 1000 50 Car 9 LifeSciences 1000 1000
female 35 Yes Southern November 200 90 Train/Bus 7 Engineer 200 200
female 199 Yes Southern February 50 20 Bus 9 Medicine 50 50
male 30 No Northern April 50 120 Train/Bus 9 Science 50 50
male 30 Yes Southern January 50 100 Bus 7 LifeSciences 50 50
male 20 Yes Southern March 20 60 Train/Bus 8 Aviation 20 20
female 30 No Southern March 45 80 Car 6 LifeSciences 45 45
male 25 No Southern April 25 40 Car/Train/Bus 7 Other 25 25
male 15 Yes Southern August 30 80 Train/Bus 8 LifeSciences 30 30
male 25 Yes Southern August 30 10 Car 1 Science 30 30
female 35 No Northern May 10 0 Walking 6 Science 10 10
male 10 No Northern January 15 0 Walking 5 Aviation 15 15
male 8 Yes Southern August 45 100 Train/Bus 6 Science 45 45
male 0 Yes Southern February 1000000 90 Other 6 LifeSciences NA 1000
male 15 No Northern November 50 60 Train/Bus 8 Aviation 50 50
male 0 No Northern February 15 45 Train/Bus 8 Science 15 15
female 2 No Southern October 50 30 Bus 8 Science 50 50
male 20 Yes Southern November 35 60 Car 8 Medicine 35 35
female 12 No Southern September 100 90 Train/Bus 8 Commerce 100 100
male 20 Yes Southern September 250 15 Car 10 LifeSciences 250 250
female 0 No Southern December 50 110 Train/Bus 8 LifeSciences 50 50
female 0 Yes Southern November 500 90 Train/Bus 8 LifeSciences 500 500
female 3.8 No Southern October 150 30 Bus 8 Aviation 150 150
female 75 Yes Northern July 30 15 Bus 8 Medicine 30 30
male 35 Yes Northern January 100 120 Car 10 Aviation 100 100
female 50 No Southern January 25 15 Bus 8 Commerce 25 25
male 30 No Southern January 30 140 Car/Train/Bus 7 LifeSciences 30 30
female 190 No Southern February 40 50 Other 8 Other 40 40
female 20 Yes Southern November 80 60 Train/Bus 8 Other 80 80
female 170 No Southern February 20 150 Car/Train/Bus 9 Science 20 20
female 180 No Southern December 25 25 Car 8 Science 25 25
female 150 No Southern March 200 120 Car/Train/Bus 8 Science 200 200
female 16 No Southern January 50 40 Train/Bus 9 Medicine 50 50
male 25 No Southern November 45 50 Motorbike 9 LifeSciences 45 45
male 20 Yes Southern July 20 2 Walking 9 Commerce 20 20
female 22 Yes Southern September 40 100 Other 8 LifeSciences 40 40
female 80 Yes Southern July 35 90 Train/Bus 8 LifeSciences 35 35
male 18 No Southern November 30 90 Bus 9 LifeSciences 30 30
female 15 No Southern February 500 65 Car/Train/Bus 8 Commerce 500 500
male 20 Yes Southern June 50 60 Train/Bus 8 LifeSciences 50 50
female 0 Yes Southern June 25 55 Car 9 LifeSciences 25 25
female 20 Yes Southern July 30 60 Motorbike 8 LifeSciences 30 30
female 22 No Southern July 45 75 Train/Bus 8 Commerce 45 45
male 25 No Southern November 30 40 Bus 7 LifeSciences 30 30
male 20 No Northern October 50 15 Bus 10 Engineer 50 50
female 20 No Northern September 500 10 Walking 8 Aviation 500 500
female 50 No Northern January 1000 5 Walking 8 Aviation 1000 1000
female 325 Yes Southern August 25 2 Walking 5 Commerce 25 25
female 22 No Northern March 50 120 Bus 7 Engineer 50 50
male 15 Yes Southern April 1000 80 Train/Bus 8 Aviation 1000 1000
female 25 No Northern November 25 90 Train/Bus 9 Aviation 25 25
male 20 No Southern October 50 80 Car/Train/Bus 8 Aviation 50 50
male 15 Yes Southern December 250 110 Car/Train/Bus 8 LifeSciences 250 250
female 25 No Southern February 50 90 Car/Train/Bus 5 Medicine 50 50
female 135 No Southern November 20 3 Walking 9 LifeSciences 20 20
male 30 No Southern April 14 0 Walking 8 LifeSciences 14 14
female 130 No Northern September 500 30 Other 7 Aviation 500 500
female 25 No Southern February 2 60 Car/Train/Bus 9 Medicine 2 2
female 30 No Southern June 60 25 Car 9 Medicine 60 60
male 12 No Southern June 50 5 Walking 8 LifeSciences 50 50
male 10 No Southern November 200 90 Bus 3 LifeSciences 200 200
female 85 No Southern September 70 90 Train/Bus 7 SocialSciences 70 70
male 20 Yes Southern November 30 100 Train/Bus 8 Other 30 30
female 100 No Southern April 10 30 Car 8 Medicine 10 10
female 15 Yes Southern May 50 75 Train/Bus 9 Engineer 50 50
male 8 Yes Northern May 25 80 Bus 8 Commerce 25 25
female 200 No Southern December 40 50 Bus 9 Other 40 40
male 15 Yes Northern December 30 55 Train/Bus 7 Other 30 30
female 35 No Southern July 99999909 90 Bus 6 Engineer NA 1000
male 8 No Southern November 10 90 Train/Bus 7 LifeSciences 10 10
male 20 No Southern June 7500 30 Bus 9 Aviation NA 1000
female 30 No Southern December 20 0 Other 8 SocialSciences 20 20
female 35 No Northern February 50 1 Walking 7 SocialSciences 50 50
female 50 No Southern June 15 15 Bus 7 LifeSciences 15 15
female 100 No Southern February 35 120 Train/Bus 8 Science 35 35
female 50 No Southern September 100 2 Walking 8 LifeSciences 100 100
female 45 No Northern June 60 3 Walking 8 LifeSciences 60 60
female 30 Yes Southern March 1000 90 Car/Train/Bus 7 Other 1000 1000
male 15 No Southern November 30 10 Bicycle 5 LifeSciences 30 30
male 10 No Northern September 30 90 Train/Bus 8 Commerce 30 30
female 15 Yes Southern March 35 45 Train/Bus 6 LifeSciences 35 35
male 12 No Southern December 50 90 Train/Bus 7 LifeSciences 50 50
female 15 No Southern June 400 90 Car/Train/Bus 8 Medicine 400 400
female 20 No Southern October 30 60 Bus 7 Other 30 30
female 120 Yes Northern October 200 90 Car/Train/Bus 7 Medicine 200 200
female 30 No Southern May 10 90 Train/Bus 4 SocialSciences 10 10
male 15 No Southern January 50 120 Train/Bus 8 Commerce 50 50
female 70 No Southern November 50 5 Walking 10 Medicine 50 50
female 18 Yes Southern March 20 50 Car/Train/Bus 9 LifeSciences 20 20
male 10 No Southern September 50 5 Walking 8 Science 50 50
female 73 Yes Northern July 38 30 Bus 9 Medicine 38 38
female 25 No Southern November 30 90 Car/Train/Bus 6 Medicine 30 30
female 120 No Northern December 70 2 Walking 7 LifeSciences 70 70
female 17 Yes Southern November 50 100 Train/Bus 8 SocialSciences 50 50
female 50 No Northern June 400 15 Bus 8 Other 400 400
male 18 No Southern October 30 75 Train/Bus 8 Commerce 30 30
female 3 No Southern October 10 5 Walking 8 LifeSciences 10 10
female 30 No Southern July 25 75 Car/Train/Bus 9 LifeSciences 25 25
male 20 No Northern October 35 25 Bus 10 SocialSciences 35 35
male 0 No Northern September 50 10 Bus 9 Other 50 50
male 20 Yes Southern March 50 90 Car/Train/Bus 10 Medicine 50 50
